,city,country,parameter,value,unit
0,Pune,IN,co,1220.0,µg/m³
1,Pune,IN,pm10,165.0,µg/m³
2,Pune,IN,pm25,66.0,µg/m³
3,Pune,IN,so2,22.85,µg/m³
4,Pune,IN,o3,15.76,µg/m³
5,Chittoor,IN,so2,5.7,µg/m³
6,Chittoor,IN,no2,40.3,µg/m³
7,Chittoor,IN,o3,34.07,µg/m³
8,Chittoor,IN,pm10,79.0,µg/m³
9,Chittoor,IN,pm25,33.0,µg/m³
10,Chittoor,IN,pm10,12.0,µg/m³
11,Chittoor,IN,pm25,38.0,µg/m³
12,Chittoor,IN,co,760.0,µg/m³
13,Chittoor,IN,co,630.0,µg/m³
14,Chittoor,IN,no2,49.9,µg/m³
15,Chittoor,IN,o3,32.14,µg/m³
16,Chittoor,IN,so2,6.9,µg/m³
17,Visakhapatnam,IN,so2,10.14,µg/m³
18,Visakhapatnam,IN,no2,6.49,µg/m³
19,Visakhapatnam,IN,co,1720.0,µg/m³
20,Visakhapatnam,IN,pm25,83.0,µg/m³
21,Visakhapatnam,IN,pm10,106.0,µg/m³
22,Visakhapatnam,IN,o3,12.87,µg/m³
23,Visakhapatnam,IN,no2,11.63,µg/m³
24,Visakhapatnam,IN,o3,4.87,µg/m³
25,Visakhapatnam,IN,so2,43.29,µg/m³
26,Visakhapatnam,IN,pm25,22.0,µg/m³
27,Visakhapatnam,IN,pm10,57.33,µg/m³
28,Visakhapatnam,IN,co,1140.0,µg/m³
29,Jaipur,IN,pm25,19.88,µg/m³
30,Jaipur,IN,pm10,42.71,µg/m³
31,Jaipur,IN,co,630.0,µg/m³
32,Jaipur,IN,no2,14.83,µg/m³
33,Jaipur,IN,o3,39.55,µg/m³
34,Jaipur,IN,so2,8.72,µg/m³
35,Jaipur,IN,so2,11.82,µg/m³
36,Jaipur,IN,pm25,71.92,µg/m³
37,Jaipur,IN,pm10,201.71,µg/m³
38,Jaipur,IN,o3,3.95,µg/m³
39,Jaipur,IN,co,2360.0,µg/m³
40,Jaipur,IN,no2,88.49,µg/m³
41,Navi Mumbai,IN,so2,32.69,µg/m³
42,Navi Mumbai,IN,co,1480.0,µg/m³
43,Navi Mumbai,IN,pm10,40.56,µg/m³
44,Chennai,IN,so2,29.3,µg/m³
45,Chennai,IN,pm25,111.73,µg/m³
46,Chennai,IN,co,5300.0,µg/m³
47,Chennai,IN,no2,12.39,µg/m³
48,Chennai,IN,o3,6.82,µg/m³
49,MKN Rd,IN,pm25,22.27,µg/m³
50,MKN Rd,IN,so2,2.76,µg/m³
51,MKN Rd,IN,no2,12.13,µg/m³
52,MKN Rd,IN,o3,23.26,µg/m³
53,MKN Rd,IN,co,790.0,µg/m³
54,MKN Rd,IN,co,960.0,µg/m³
55,MKN Rd,IN,o3,27.82,µg/m³
56,MKN Rd,IN,so2,4.86,µg/m³
57,MKN Rd,IN,pm25,3.79,µg/m³
58,MKN Rd,IN,no2,10.13,µg/m³
